iter	Passed	Remaining
0	145	144977
1	146	73247
2	148	49425
3	150	37502
4	152	30377
5	154	25601
6	156	22195
7	158	19627
8	159	17617
9	162	16063
10	164	14751
11	166	13670
12	168	12780
13	170	11988
14	172	11321
15	174	10706
16	175	10173
17	177	9702
18	179	9282
19	181	8891
20	183	8552
21	185	8239
22	187	7946
23	188	7679
24	190	7428
25	192	7194
26	193	6981
27	195	6780
28	197	6596
29	198	6424
30	200	6259
31	201	6108
32	203	5964
33	205	5830
34	206	5698
35	207	5567
36	209	5447
37	210	5333
38	212	5224
39	213	5119
40	214	5024
41	216	4927
42	217	4831
43	218	4739
44	219	4650
45	220	4565
46	221	4481
47	221	4401
48	223	4328
49	223	4255
50	224	4184
51	225	4114
52	226	4049
53	227	3983
54	228	3922
55	229	3864
56	230	3807
57	231	3752
58	231	3699
59	232	3647
60	233	3597
61	234	3548
62	235	3501
63	236	3456
64	237	3411
65	238	3374
66	239	3334
67	240	3289
68	240	3250
69	241	3213
70	242	3176
71	243	3140
72	244	3104
73	245	3069
74	246	3035
75	247	3004
76	247	2972
77	248	2941
78	249	2914
79	250	2885
80	251	2855
81	252	2827
82	253	2799
83	254	2772
84	254	2743
85	255	2718
86	256	2690
87	257	2666
88	258	2642
89	259	2618
90	259	2596
91	260	2574
92	261	2552
93	262	2531
94	263	2509
95	264	2488
96	265	2468
97	265	2448
98	267	2430
99	267	2411
100	268	2392
101	269	2370
102	270	2353
103	271	2335
104	271	2317
105	272	2300
106	273	2283
107	274	2266
108	275	2250
109	276	2234
110	277	2218
111	277	2203
112	278	2188
113	279	2174
114	280	2159
115	281	2144
116	282	2130
117	283	2117
118	283	2102
119	284	2088
120	285	2074
121	286	2062
122	286	2046
123	287	2033
124	288	2022
125	289	2010
126	290	1998
127	291	1984
128	292	1973
129	293	1962
130	294	1951
131	295	1940
132	296	1930
133	297	1919
134	297	1908
135	298	1898
136	299	1887
137	300	1876
138	301	1866
139	302	1856
140	303	1846
141	304	1837
142	304	1827
143	305	1817
144	306	1808
145	307	1799
146	308	1790
147	309	1781
148	310	1772
149	311	1764
150	312	1755
151	313	1747
152	314	1739
153	315	1731
154	316	1723
155	317	1715
156	317	1707
157	318	1699
158	319	1691
159	320	1683
160	321	1676
161	322	1668
162	323	1661
163	324	1653
164	325	1646
165	326	1640
166	327	1633
167	328	1626
168	329	1621
169	330	1613
170	331	1606
171	332	1600
172	333	1593
173	334	1586
174	335	1579
175	335	1572
176	336	1566
177	337	1559
178	338	1553
179	339	1546
180	339	1538
181	340	1532
182	341	1525
183	342	1520
184	343	1514
185	344	1508
186	345	1501
187	346	1495
188	347	1489
189	347	1483
190	348	1477
191	349	1471
192	350	1465
193	351	1460
194	352	1454
195	353	1449
196	354	1444
197	355	1438
198	356	1433
199	357	1428
200	357	1422
201	358	1417
202	359	1412
203	360	1407
204	361	1402
205	362	1397
206	363	1392
207	364	1387
208	365	1382
209	366	1377
210	366	1372
211	367	1367
212	368	1362
213	369	1358
214	370	1353
215	371	1348
216	372	1344
217	373	1339
218	374	1335
219	375	1330
220	376	1326
221	377	1321
222	377	1316
223	378	1312
224	379	1308
225	380	1303
226	381	1299
227	382	1295
228	383	1290
229	384	1286
230	385	1282
231	386	1278
232	387	1274
233	388	1270
234	388	1266
235	389	1262
236	390	1258
237	391	1254
238	392	1250
239	393	1246
240	394	1242
241	395	1238
242	396	1234
243	397	1230
244	398	1226
245	398	1222
246	399	1218
247	400	1214
248	401	1210
249	402	1206
250	403	1203
251	404	1199
252	405	1195
253	405	1192
254	406	1188
255	407	1185
256	408	1182
257	409	1178
258	410	1175
259	411	1171
260	412	1168
261	413	1164
262	414	1161
263	415	1157
264	416	1154
265	417	1150
266	417	1147
267	418	1144
268	419	1140
269	420	1137
270	421	1134
271	422	1130
272	423	1127
273	424	1124
274	425	1121
275	426	1118
276	427	1114
277	427	1111
278	428	1108
279	429	1105
280	430	1101
281	431	1098
282	432	1095
283	433	1092
284	434	1089
285	435	1086
286	436	1083
287	436	1080
288	437	1077
289	438	1074
290	439	1070
291	440	1067
292	441	1064
293	442	1061
294	443	1059
295	444	1056
296	445	1053
297	446	1050
298	446	1047
299	447	1044
300	448	1041
301	449	1038
302	450	1036
303	451	1033
304	452	1030
305	453	1028
306	454	1025
307	455	1022
308	456	1020
309	457	1017
310	458	1014
311	459	1012
312	459	1009
313	460	1006
314	461	1004
315	462	1001
316	463	999
317	464	996
318	465	993
319	466	991
320	467	988
321	468	986
322	469	983
323	470	981
324	471	978
325	472	975
326	472	973
327	473	971
328	474	968
329	475	965
330	476	963
331	477	961
332	478	958
333	479	956
334	480	953
335	481	951
336	482	949
337	483	947
338	484	945
339	485	943
340	487	941
341	488	939
342	489	937
343	490	934
344	491	932
345	492	930
346	493	928
347	494	925
348	494	923
349	495	920
350	496	918
351	497	915
352	498	913
353	499	911
354	500	909
355	501	906
356	502	904
357	503	902
358	504	899
359	505	897
360	505	895
361	506	893
362	507	890
363	508	888
364	509	886
365	510	884
366	511	882
367	512	879
368	513	877
369	513	874
370	514	872
371	515	870
372	516	868
373	517	866
374	518	864
375	519	862
376	520	860
377	522	859
378	523	857
379	524	855
380	525	854
381	526	852
382	528	850
383	529	848
384	530	846
385	531	844
386	532	842
387	533	841
388	534	838
389	534	836
390	535	834
391	536	832
392	537	830
393	538	828
394	539	826
395	540	824
396	541	822
397	542	820
398	543	818
399	544	816
400	545	814
401	546	812
402	547	811
403	548	809
404	549	807
405	550	805
406	551	803
407	552	801
408	553	799
409	554	797
410	555	795
411	555	793
412	556	791
413	557	789
414	558	787
415	559	785
416	560	783
417	561	781
418	562	779
419	563	778
420	564	776
421	565	774
422	566	772
423	567	770
424	568	769
425	569	767
426	570	765
427	571	763
428	571	761
429	572	759
430	573	757
431	574	755
432	575	754
433	576	752
434	577	750
435	578	748
436	579	746
437	580	744
438	581	743
439	582	741
440	583	739
441	584	737
442	585	735
443	585	733
444	586	732
445	587	730
446	588	728
447	589	726
448	590	724
449	591	722
450	592	720
451	593	719
452	594	717
453	594	715
454	595	713
455	596	711
456	597	710
457	598	708
458	599	706
459	600	704
460	601	702
461	602	701
462	603	699
463	603	697
464	605	696
465	605	694
466	606	692
467	607	690
468	608	688
