iter	Passed	Remaining
0	0	801
1	1	718
2	2	699
3	2	695
4	3	703
5	4	696
6	4	683
7	5	677
8	6	665
9	6	662
10	7	658
11	7	651
12	8	650
13	9	646
14	9	642
15	10	639
16	11	636
17	11	633
18	12	629
19	12	629
20	13	626
21	14	625
22	14	624
23	15	625
24	15	623
25	16	621
26	17	619
27	17	617
28	18	622
29	19	623
30	19	621
31	20	621
32	21	619
33	21	618
34	22	616
35	22	615
36	23	614
37	24	612
38	24	611
39	25	609
40	26	608
41	26	606
42	27	605
43	27	603
44	28	602
45	29	601
46	29	601
47	30	600
48	30	600
49	31	599
50	32	598
51	32	597
52	33	600
53	34	604
54	35	606
55	36	607
56	36	608
57	37	607
58	38	607
59	38	607
60	39	608
61	40	608
62	40	606
63	41	606
64	42	605
65	42	604
66	43	603
67	43	602
68	44	601
69	45	600
70	45	599
71	46	598
72	47	597
73	47	597
74	48	597
75	49	598
76	49	598
77	50	597
78	51	596
79	51	595
80	52	594
81	52	592
82	53	588
83	53	588
84	54	587
85	55	586
86	55	585
87	56	584
88	57	583
89	57	582
90	58	582
91	59	582
92	59	581
93	60	580
94	60	579
95	61	579
96	62	578
97	62	577
98	63	576
99	64	576
100	64	576
101	65	576
102	66	575
103	66	574
104	67	573
105	67	572
106	68	570
107	68	569
108	69	567
109	69	566
110	70	564
111	71	563
112	71	562
113	72	560
114	72	559
115	73	557
116	73	555
117	74	553
118	74	552
119	75	550
120	75	549
121	76	547
122	76	545
123	77	544
124	77	542
125	78	543
126	79	544
127	79	544
128	80	544
129	81	543
130	81	542
131	82	541
132	82	540
133	83	539
134	84	539
135	84	538
136	85	537
137	85	536
138	86	535
139	87	535
140	87	534
141	88	533
142	88	533
143	89	532
144	90	531
145	90	530
146	91	528
147	91	527
148	92	526
149	92	525
150	93	524
151	93	524
152	94	524
153	95	523
154	96	524
155	96	523
156	97	522
157	97	521
158	98	519
159	98	518
160	99	516
161	99	515
162	100	514
163	100	513
164	101	512
165	101	512
166	102	511
167	103	510
168	103	509
169	104	508
170	104	507
171	105	506
172	105	505
173	106	504
174	106	503
175	107	502
176	107	501
177	108	500
178	108	499
179	109	499
180	110	498
181	110	498
182	111	497
183	111	496
184	112	495
185	112	494
186	113	493
187	114	492
188	114	491
189	115	490
190	115	490
191	116	489
192	116	488
193	117	487
194	117	486
195	118	485
196	118	484
197	119	483
198	119	482
199	120	481
200	120	480
201	121	479
202	121	478
203	122	477
204	122	476
205	123	477
206	124	478
207	125	477
208	126	477
209	126	476
210	127	476
211	127	475
212	128	474
213	128	473
214	129	472
215	129	471
216	130	470
217	130	469
218	131	468
219	132	468
220	132	467
221	133	466
222	133	465
223	134	464
224	134	463
225	135	462
226	135	461
227	136	460
228	136	460
229	137	459
230	137	458
231	138	457
232	138	457
233	139	457
234	141	459
235	141	458
236	142	457
237	142	456
238	143	455
239	143	454
240	144	453
241	144	453
242	145	452
243	145	451
244	146	450
245	146	450
246	147	449
247	147	448
248	148	447
249	148	446
250	149	445
251	149	445
252	150	444
253	150	443
254	151	442
255	152	441
256	152	441
257	153	440
258	153	439
259	154	438
260	154	438
261	155	438
262	156	437
263	156	436
264	157	436
265	157	435
266	158	434
267	158	434
268	159	433
269	160	433
270	160	432
271	161	431
272	161	430
273	162	430
274	162	429
275	163	428
276	164	428
277	164	427
278	165	426
279	165	426
280	166	425
281	166	424
282	167	423
283	167	422
284	168	422
285	168	421
286	169	420
287	170	420
288	170	420
289	171	419
290	172	419
291	172	418
292	173	418
293	173	417
294	174	416
295	175	416
296	175	416
297	176	416
298	177	416
299	178	416
300	178	415
301	179	414
302	180	414
303	180	413
304	181	412
305	181	411
306	182	411
307	182	410
308	183	409
309	183	409
310	184	408
311	185	408
312	186	409
313	186	408
314	187	407
315	188	407
316	188	406
317	189	406
318	190	405
319	190	404
320	191	404
321	192	404
322	193	405
323	193	404
324	194	404
325	195	403
326	195	402
327	196	401
328	196	401
329	197	400
330	197	399
331	198	399
332	198	398
333	199	397
334	200	397
335	201	397
336	201	397
337	202	396
338	203	396
339	203	395
340	204	394
341	204	394
342	205	393
343	206	393
344	207	393
345	208	393
346	208	393
347	209	392
348	209	391
349	210	390
350	211	390
351	211	389
352	212	388
353	212	387
354	213	387
355	213	386
356	214	385
357	215	385
358	216	385
359	216	385
360	217	384
361	217	383
362	218	383
363	219	382
364	219	382
365	220	381
366	220	381
367	221	380
368	222	380
369	222	379
370	223	379
371	224	378
372	224	378
373	225	377
374	226	376
375	226	376
376	227	375
377	227	375
378	228	374
379	229	374
380	230	373
381	231	374
382	231	373
383	232	373
384	233	372
385	233	372
386	234	371
387	235	370
388	235	370
389	236	370
390	237	369
391	239	370
392	239	370
393	240	369
394	240	369
395	241	368
396	242	367
397	242	367
398	243	366
399	243	365
